model,description,mae,rmse,r2,cv,features,n_features,multi,poly,poly_dreg,log,minmax,standard,pca,pca_per,interval,date
linear_reg,vanilla,12.43,16.49,21.26,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0224,2019-10-28_19:15:18
linear_reg,vanilla,14.18,18.45,1.41,10,Age,1,False,False,2,False,False,False,False,0.8,0.0209,2019-10-28_19:24:07
linear_reg,vanilla,12.55,16.69,19.31,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,True,2,False,False,False,False,0.8,0.0199,2019-10-28_19:27:19
linear_reg,vanilla,12.05,17.77,8.58,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,True,False,False,False,0.8,0.0237,2019-10-28_19:30:55
linear_reg,vanilla,12.67,16.72,19.03,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,True,0.8,0.0092,2019-10-28_19:32:46
linear_reg,vanilla,12.43,16.49,21.26,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,False,0.8,0.0076,2019-10-28_19:48:10
linear_reg,vanilla,12.43,16.49,21.26,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,True,False,0.8,0.0076,2019-10-28_19:50:25
linear_reg,vanilla,12.78,16.75,18.79,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,True,False,True,0.8,0.007,2019-10-28_19:53:12
Lasso_reg,vanilla,12.48,16.53,20.89,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0385,2019-10-28_23:16:49
Lasso_reg,vanilla,12.48,16.53,20.88,10,Age-Cervical-Weight-Height-BMI-Gender_hombre-Gender_mujer-Smoker_antiguo-Smoker_no-Smoker_ns-Smoker_si-Snorer_CPAP-Snorer_no-Snorer_ns-Snorer_si-Illness_no-Illness_ns-Illness_si,18,True,False,2,False,False,False,False,0.8,0.0657,2019-10-28_23:23:26
Lasso_reg,alpha01,12.43,16.48,21.34,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0372,2019-10-29_01:09:53
Ridge_reg,alpha05,12.43,16.49,21.26,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0237,2019-10-29_01:11:42
Ridge_reg,alpha1,12.43,16.49,21.27,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0271,2019-10-29_01:12:04
ElasticNet_reg,alpha05_l1ratio01,12.44,16.49,21.27,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0345,2019-10-29_01:12:43
ElasticNet_reg,alpha01_l1ratio05,12.43,16.48,21.38,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0393,2019-10-29_01:13:09
knn_reg,nn5,13.22,17.71,9.17,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0254,2019-10-29_11:44:42
knn_reg,nn10,12.85,17.01,16.25,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0283,2019-10-29_11:47:02
knn_reg,nn3,13.79,18.67,-0.92,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.2062,2019-10-29_11:47:43
knn_reg,nn15,12.53,16.71,19.11,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0279,2019-10-29_11:48:12
radius_neigh_reg,minradius26,13.1,16.96,16.69,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0369,2019-10-29_11:53:02
radius_neigh_reg,radius100,14.54,18.62,-0.45,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0378,2019-10-29_11:54:30
tree_reg,vanilla,15.72,21.97,-39.75,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0388,2019-10-29_12:19:29
tree_reg,maxDepth2,13.01,17.23,14.06,10,Age-Cervical-Weight-Height-BMI-Gender_hombre,6,True,False,2,False,False,False,False,0.8,0.0229,2019-10-29_12:28:51
